,country,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se
112,Namibia,2008,60.5,2,63.6,2.5,NA,NA,NA,NA
113,Nepal,2008,37,2.1,37.9,2.4,NA,NA,NA,NA
114,Netherlands,2008,26.8,0.8,45.3,1.1,18.5,1.4,40.8,1.8
115,New Zealand,2008,32,1,46.6,2.2,14.6,2.4,31.3,3.3
116,Nicaragua,2008,43.4,1.7,49.7,2.1,6.3,2.7,12.7,3.4
117,Niger,2008,37.1,1.7,37.3,2.1,NA,NA,NA,NA
118,Nigeria,2008,42,1.8,42.7,2.1,NA,NA,NA,NA
119,Norway,2008,24.5,0.6,43.4,0.8,18.9,1,43.5,1.3
120,Oman,,,,,,,,,
121,Pakistan,2008,34.3,1.5,34.1,1.7,NA,NA,NA,NA
122,Palau,2008,46.4,2.6,46,3,NA,NA,NA,NA
123,Palestinian Territories,2008,35.6,1.4,36.4,1.8,NA,NA,NA,NA
124,Panama,2008,48.3,0.8,51.8,1.2,3.5,1.4,6.8,1.8
125,Papua New Guinea,2008,47.5,2.8,48.3,3.3,NA,NA,NA,NA
126,Paraguay,2008,46.6,0.7,47.8,0.9,1.2,1.1,2.5,1.4
127,Peru,2008,48.5,0.6,51.6,0.7,3.1,0.9,6,1.1
128,Philippines,2008,40.9,2.2,46.5,2.1,NA,NA,NA,NA
129,Poland,2008,31.6,0.6,50.2,0.9,18.6,1.1,37.1,1.4
130,Portugal,2008,34,1.2,51.5,2.1,17.5,2.4,34,3.2
131,Puerto Rico,2008,51.5,1.8,51,2.6,NA,NA,NA,NA
132,Qatar,2008,39.8,2.8,41.5,3.4,NA,NA,NA,NA
133,Romania,2008,33.1,1.1,38.7,2,5.6,2.3,14.5,3
134,Russia (Soviet Union),2008,36.4,0.9,47.6,1.1,11.2,1.4,23.5,1.8
135,Rwanda,2008,47.5,1.8,50.2,2,NA,NA,NA,NA
136,Samoa,2008,42.9,2.8,43.7,3,NA,NA,NA,NA
137,São Tomé and Príncipe,2008,30.3,2.4,30.5,2.7,NA,NA,NA,NA
138,Saudi Arabia,2008,47.9,3.8,49.2,4.2,NA,NA,NA,NA
139,Senegal,2008,39.4,2.2,39.6,2.5,NA,NA,NA,NA
140,Yugoslavia (Serbia),2008,34.2,1.1,50.9,1.6,16.7,1.9,32.8,2.5
141,Seychelles,2008,40.8,3.3,42.4,3.7,NA,NA,NA,NA
142,Sierra Leone,2008,39.1,2.1,39.5,2.6,NA,NA,NA,NA
143,Singapore,2008,39.5,1.2,44.4,1.8,4.9,2.2,11,2.8
144,Slovakia,2008,25.3,0.6,41.6,0.9,16.3,1.1,39.2,1.4
145,Slovenia,2008,23.6,0.6,39.6,0.9,16,1.1,40.4,1.4
146,Solomon Islands,2008,42.3,2.8,43,3.4,NA,NA,NA,NA
147,South Africa,2008,59.7,1,68.5,1.1,8.8,1.5,12.8,1.9
148,Spain,2008,32.5,0.8,47.5,1.1,15,1.4,31.6,1.8
149,Sri Lanka (Ceylon),2008,48.9,1.9,41.7,1.6,NA,NA,NA,NA
150,St. Kitts and Nevis,2008,41.2,4,40.2,5.7,NA,NA,NA,NA
151,St. Vincent and Grenadines,2008,48.3,4.3,45.9,6,NA,NA,NA,NA
152,Sudan,2008,36.2,2.7,36.2,3.3,NA,NA,NA,NA
153,Swaziland,2008,58.9,3.4,50.2,2.7,NA,NA,NA,NA
154,Sweden,2008,25,0.7,47.3,1.3,22.3,1.5,47.1,2
155,Switzerland,2008,29.5,0.9,41.8,1.2,12.3,1.5,29.4,1.9
156,Syria,2007,35.3,,,,,,,
157,Taiwan,2008,30.5,0.7,32.3,0.9,1.8,1.1,5.6,1.4
158,Tajikistan,2008,43.9,2.1,39.1,2.1,NA,NA,NA,NA
159,Tanzania/Tanganyika,2008,44.1,2,37.5,1.8,NA,NA,NA,NA
160,Thailand,2008,41.6,1.1,43.2,1.3,NA,NA,NA,NA
161,Timor-Leste,2008,31.7,2.1,32.6,2.6,NA,NA,NA,NA
