Series Name,Series Code,country,Country Code,income2003,income2004,income2005,income2006,income2007,income2008,income2009,income2010,income2011,income2012,income2013,income2014,income2015,income2016,income2017
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Kenya,KEN,342.6189265,366.3582313,423.8654459,579.8506157,695.1797329,765.3323387,767.6062163,811.1815005,834.5589071,970.8355879,1034.175221,1101.109114,1121.070784,1225.77149,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Kiribati,KIR,1434.988906,1607.270763,1625.018673,1586.798688,1761.330079,1914.12202,1682.886731,2031.719721,2174.026124,2394.263614,2542.239592,2960.026952,2874.560919,2139.200482,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Korea, Republic Of",KOR,11720.85018,13135.82438,15271.76768,17190.75916,19054.84494,16672.3764,14725.78027,18055.97722,19659.88698,19878.8787,21018.30632,22446.48602,21881.35335,22172.11307,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Kuwait,KWT,19830.95334,24786.83322,31636.67868,39264.11981,42553.16144,48801.43297,34977.90496,34427.2205,40923.6279,43467.14898,41802.6871,38379.06999,27112.10983,24852.10652,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Kyrgyz Republic,KGZ,317.3980241,355.7963256,409.502802,479.6699699,646.3866823,787.7809958,703.8047093,664.6557804,805.5106428,958.3363092,945.8174802,948.31444,825.3477463,783.7316001,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Lao PDR,LAO,287.1036412,336.489382,387.3644044,435.5068225,539.4126143,644.1822008,706.1304807,778.9751384,943.7366372,1126.675475,1322.160218,1471.999545,1608.173835,1752.65011,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Latvia,LVA,3883.876989,4778.304962,5826.425416,7228.753355,10598.61957,12526.91312,10201.79779,8601.758801,10349.66472,10290.37398,11385.27478,11954.36762,10445.30508,10891.13792,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Lebanon,LBN,3749.472049,4516.978907,4598.764231,4419.199799,5131.089032,6028.728748,7119.752633,7354.071577,7213.798086,7325.450276,7137.352333,6919.133813,6826.146405,6598.650993,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Lesotho,LSO,793.6659148,999.0472088,1048.023798,1074.135438,1156.372068,1130.962569,1058.808509,1294.791948,1370.507388,1247.745458,1141.474687,1128.569646,1061.700161,965.7185194,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Liberia,LBR,70.15986233,87.38345293,107.991467,110.5036028,122.9422883,120.6550497,180.1126663,188.7847251,241.0965541,225.6756669,250.8865475,248.4129371,247.5317979,241.2257767,..
